Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-1885.305	-2077.216	191.9104	1.343343	0.748707	0.139077	0.0156988	0.096517	1.510715	1.463685	0.32141	0.308832	0.0826752	0.287083
6	-1885.238	-2075.926	190.688	2.157442	0.67471	0.123379	0.137397	0.0645139	1.489611	1.883251	0.568226	0.173425	0.141734	0.116615
12	-1883.136	-2076.113	192.9777	0.2956419	0.423386	0.485157	0.0422975	0.0491597	2.024419	0.9723413	0.15942	0.493256	0.139255	0.208069
18	-1876.553	-2069.485	192.9327	0.2956419	0.595147	0.317966	0.0720847	0.0148023	1.956661	1.082342	0.158986	0.267451	0.134663	0.438899
24	-1873.943	-2067.066	193.1232	0.2736965	0.609358	0.252342	0.0857353	0.0525642	1.957795	0.8947602	0.0922432	0.319187	0.0759638	0.512606
30	-1866.356	-2059.306	192.9492	0.3128869	0.630081	0.260924	0.088651	0.0203435	1.957795	1.058436	0.175996	0.522083	0.176344	0.125577
36	-1863.354	-2056.471	193.1173	0.260774	0.630081	0.260924	0.088651	0.0203435	1.946742	0.9160523	0.0821543	0.50887	0.107997	0.300979
42	-1856.545	-2049.483	192.938	0.3178372	0.559836	0.346402	0.0643947	0.0293675	1.946742	1.076978	0.137115	0.512295	0.27368	0.0769096
48	-1861.338	-2054.276	192.9384	0.3378972	0.517235	0.422502	0.0331308	0.0271327	2.029387	0.9848826	0.0627244	0.718743	0.110629	0.107903
54	-1861.437	-2054.559	193.1219	0.2455774	0.704773	0.236281	0.0309646	0.0279807	1.895039	0.9666339	0.28863	0.398173	0.21816	0.095037
60	-1853.617	-2046.621	193.0038	0.2455774	0.682336	0.228759	0.0189002	0.0700046	1.870127	1.105017	0.158519	0.337157	0.126686	0.377637
66	-1853.627	-2046.632	193.0046	0.2455774	0.672569	0.169372	0.013387	0.144672	2.001288	0.9779843	0.183785	0.328154	0.146878	0.341182
72	-1880.153	-2072.978	192.8241	0.2135853	0.736335	0.199452	0.0340444	0.0301678	2.159205	0.9912825	0.100129	0.382722	0.157429	0.359719
78	-1867.449	-2060.42	192.9707	0.2774237	0.623415	0.254433	0.0609196	0.0612322	2.029212	0.9807218	0.100948	0.38672	0.108807	0.403524
84	-1866.964	-2059.977	193.0135	0.2676883	0.581847	0.294651	0.061593	0.0619091	2.17643	0.7578684	0.0840705	0.558247	0.29423	0.0634525
90	-1868.108	-2061.134	193.0257	0.2676883	0.689558	0.179382	0.0374976	0.0935617	2.192683	0.7134173	0.175242	0.535299	0.267443	0.0220169
96	-1870.032	-2063.056	193.0232	0.2240984	0.784625	0.154878	0.0362227	0.0242743	2.059862	0.8898814	0.137852	0.594545	0.250284	0.0173193
102	-1871.19	-2064.255	193.0649	0.2652617	0.571488	0.355732	0.0291174	0.0436627	2.066877	0.8365312	0.130227	0.63129	0.21723	0.0212539
108	-1881.104	-2074.04	192.9359	0.3299035	0.629783	0.209078	0.0654029	0.0957354	2.164815	0.843187	0.0709547	0.565813	0.21512	0.148113
114	-1878.727	-2068.745	190.018	1.466702	0.763231	0.109946	0.0979194	0.0289044	1.373842	2.736453	0.016201	0.549517	0.232465	0.201817
120	-1873.083	-2065.931	192.8484	0.2954237	0.618286	0.26902	0.0545502	0.0581443	2.017031	1.10448	0.048514	0.511019	0.241691	0.198776
126	-1881.111	-2073.959	192.8477	0.3699675	0.578305	0.335889	0.0553862	0.03042	2.01603	1.06464	0.0481162	0.460487	0.239061	0.252336
132	-1881.966	-2074.732	192.766	0.5233634	0.440564	0.387041	0.0444438	0.127951	1.910434	1.107969	0.0695259	0.665384	0.0665302	0.19856
138	-1878.861	-2071.842	192.9808	0.2997771	0.598194	0.294996	0.0603454	0.0464655	2.16601	0.8042383	0.0393194	0.424633	0.342112	0.193936
144	-1879.123	-2071.203	192.08	0.9563905	0.36707	0.517148	0.0995955	0.0161866	1.762515	1.424864	0.469222	0.318372	0.0516538	0.160751
150	-1889.379	-2082.424	193.0451	0.2722254	0.658008	0.236414	0.0177172	0.0878607	2.082583	0.8401123	0.200243	0.485241	0.27119	0.0433253
156	-1877.793	-2070.764	192.9707	0.2378056	0.74343	0.16883	0.021646	0.0660943	2.316337	0.5395506	0.0367076	0.336415	0.241538	0.385339
162	-1873.6	-2065.665	192.0647	1.228433	0.528861	0.395554	0.0639206	0.0116638	1.983205	1.024979	0.328585	0.337099	0.0428973	0.291418
168	-1885.122	-2077.531	192.4096	1.019634	0.694484	0.20626	0.0839386	0.0153166	2.012595	0.8377157	0.341693	0.394356	0.16321	0.100741
174	-1883.338	-2076.419	193.0811	0.2322675	0.645213	0.208869	0.0271697	0.118748	2.102922	0.7652643	0.0965744	0.513898	0.219148	0.17038
180	-1883.24	-2076.216	192.9766	0.3405322	0.553334	0.334279	0.0434831	0.0689033	2.270686	0.5767551	0.104131	0.359841	0.0984088	0.437619
186	-1879.781	-2072.797	193.0156	0.2561932	0.702268	0.152066	0.0319476	0.113719	2.249496	0.6228092	0.0290937	0.409205	0.173026	0.388676
192	-1874.128	-2065.912	191.7841	1.584378	0.645133	0.122844	0.162761	0.0692626	1.780289	1.178682	0.280307	0.510869	0.112633	0.0961916
