Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
0	-1880.006	-2072.95	192.944	0.225704	0.546293	0.381746	0.0459372	0.0260239	2.337884	0.5519748	0.12008	0.271162	0.101343	0.507414
6	-1878.929	-2071.913	192.9838	0.225704	0.391489	0.576931	0.0282229	0.00335674	2.274989	0.6282913	0.0459629	0.435282	0.181574	0.337181
12	-1880.826	-2073.843	193.0169	0.2807078	0.166092	0.678645	0.0331986	0.122064	2.197414	0.7153481	0.0637809	0.576986	0.240685	0.118548
18	-1879.562	-2072.568	193.0063	0.2568692	0.207022	0.641407	0.031377	0.120194	2.065875	0.9074892	0.02648	0.419115	0.241583	0.312822
24	-1887.65	-2080.59	192.9392	0.2697667	0.379564	0.453884	0.0667916	0.0997611	2.012791	1.030103	0.0668257	0.528104	0.14001	0.26506
30	-1870.566	-2063.561	192.9948	0.2215937	0.402713	0.456355	0.0900513	0.050881	2.005875	0.9776255	0.0398011	0.542554	0.145333	0.272312
36	-1868.354	-2061.385	193.0309	0.2280826	0.387046	0.510112	0.0897077	0.0131343	2.14349	0.7772745	0.493077	0.176911	0.123926	0.206086
42	-1871.751	-2064.696	192.9453	0.2280826	0.617421	0.324461	0.0497632	0.0083542	2.159061	0.8667581	0.332535	0.352827	0.0974574	0.217181
48	-1867.307	-2060.078	192.7714	0.2280826	0.500376	0.457548	0.0374658	0.00460996	2.085077	1.117916	0.385449	0.342058	0.156491	0.116002
54	-1868.692	-2061.486	192.7947	0.2392802	0.544985	0.409188	0.0408059	0.00502094	2.013602	1.163116	0.628743	0.085977	0.110121	0.175159
60	-1859.937	-2052.88	192.943	0.1895495	0.469074	0.476647	0.0251621	0.0291171	1.898029	1.108808	0.410364	0.297989	0.145782	0.145865
66	-1866.361	-2058.799	192.4382	0.2256741	0.42275	0.511575	0.0429013	0.0227741	1.700201	1.68037	0.344124	0.429622	0.113095	0.113159
72	-1874.577	-2067.541	192.9643	0.2574816	0.423777	0.513226	0.0430397	0.0199571	1.943754	1.073501	0.282676	0.45564	0.241791	0.0198934
78	-1874.004	-2066.94	192.9364	0.3001769	0.485031	0.421807	0.064265	0.0288963	1.94363	1.089265	0.324709	0.498523	0.167097	0.00967053
84	-1883.523	-2076.66	193.1368	0.2277866	0.230536	0.64502	0.0871053	0.0373389	2.054916	0.7520464	0.216478	0.51273	0.195363	0.0754294
90	-1879.094	-2072.075	192.9808	0.2440213	0.269096	0.537635	0.0494843	0.143785	2.231101	0.7259227	0.368347	0.464975	0.158746	0.00793136
96	-1874.361	-2067.27	192.9086	0.2641107	0.29908	0.55294	0.0644992	0.0834805	2.252057	0.7996055	0.237555	0.489338	0.26476	0.00834693
102	-1871.441	-2064.462	193.0209	0.2690593	0.181381	0.634005	0.0882196	0.0963936	2.138993	0.7996055	0.168495	0.70531	0.104401	0.0217941
108	-1870.638	-2063.726	193.088	0.3136912	0.343372	0.543615	0.0130513	0.099962	2.055786	0.7996055	0.247509	0.558816	0.16342	0.0302547
114	-1882.3	-2074.048	191.7481	1.582402	0.72608	0.212604	0.0529294	0.00838736	2.116293	0.8878204	0.251759	0.569238	0.120756	0.0582468
120	-1876.78	-2068.902	192.1223	1.403796	0.734717	0.205104	0.0465145	0.0136652	1.807843	0.9831468	0.310026	0.341629	0.148704	0.199642
126	-1874.289	-2065.59	191.3009	1.953857	0.689248	0.237867	0.0548395	0.0180454	1.620869	1.458954	0.581479	0.166845	0.170154	0.0815225
132	-1867.173	-2059.01	191.8368	1.265827	0.608945	0.313731	0.0535232	0.0238008	1.685824	1.440337	0.45041	0.311517	0.107286	0.130788
138	-1879.111	-2070.671	191.5603	1.801209	0.678483	0.197271	0.11293	0.0113165	1.602193	1.364224	0.331857	0.525728	0.0683594	0.0740563
144	-1881.309	-2073.235	191.926	1.093078	0.588174	0.345677	0.0503864	0.0157621	1.623167	1.543731	0.531855	0.192321	0.200327	0.0754965
150	-1893.053	-2084.924	191.8718	1.542183	0.713139	0.00934828	0.265586	0.0119269	1.925032	0.9962019	0.455418	0.262507	0.185922	0.0961531
156	-1881.131	-2072.381	191.2499	2.312618	0.693844	0.00546812	0.287765	0.012923	2.004657	0.9450992	0.436787	0.366611	0.0454674	0.151135
162	-1877.279	-2067.844	190.5649	2.001772	0.844522	0.0479068	0.104654	0.00291732	1.258299	2.194184	0.395567	0.381756	0.153433	0.0692445
168	-1869.029	-2059.323	190.2944	2.030931	0.774016	0.0610765	0.0620621	0.102845	1.286862	2.335405	0.679079	0.052713	0.146214	0.121993
174	-1873.283	-2064.185	190.9021	1.599955	0.870823	0.0551151	0.0359703	0.0380913	1.332302	2.133885	0.319874	0.201686	0.420976	0.0574638
180	-1875.633	-2065.55	189.9167	1.793307	0.762337	0.110315	0.0748898	0.0524588	1.245621	2.710756	0.173556	0.478117	0.228411	0.119916
186	-1879.685	-2069.315	189.6301	1.375673	0.848149	0.0524414	0.0761465	0.0232635	1.247947	3.095147	0.159075	0.626069	0.192882	0.021975
192	-1863.839	-2055.042	191.2028	1.585497	0.768896	0.119768	0.0260113	0.0853252	1.703153	1.686552	0.50731	0.124769	0.184811	0.18311
198	-1865.229	-2056.174	190.9456	1.355583	0.669295	0.130647	0.107885	0.0921726	1.721771	1.988194	0.281986	0.571975	0.0758238	0.0702154
204	-1862.209	-2053.82	191.6118	1.211927	0.822425	0.0841193	0.045397	0.0480583	1.833646	1.536288	0.477689	0.274499	0.181955	0.0658571
210	-1873.571	-2065.096	191.5249	1.273514	0.775075	0.0715669	0.130559	0.0227989	1.734062	1.630658	0.226564	0.560543	0.0784096	0.134484
216	-1879.593	-2071.116	191.5227	1.273514	0.728078	0.118673	0.127695	0.0255538	1.736251	1.630658	0.221936	0.631573	0.076808	0.0696834
222	-1881.075	-2072.756	191.6814	1.256549	0.821077	0.0249287	0.144515	0.0094797	1.603454	1.623288	0.136612	0.737115	0.0896435	0.036629
228	-1903.893	-2095.68	191.7867	1.188041	0.823149	0.0179843	0.152028	0.00683894	1.622783	1.57936	0.471195	0.101073	0.177974	0.249758
234	-1888.674	-2080.109	191.435	1.306811	0.835974	0.0347381	0.118903	0.0103851	1.562408	1.793853	0.579265	0.0160565	0.202199	0.20248
240	-1897.742	-2089.291	191.5497	1.81806	0.770939	0.0320357	0.109653	0.0873721	1.590329	1.371464	0.467049	0.146687	0.223009	0.163255
246	-1891.362	-2082.752	191.3898	1.81806	0.779898	0.137948	0.0203616	0.061792	1.733918	1.384215	0.432079	0.153714	0.233693	0.180514
252	-1898.273	-2089.173	190.8995	2.315674	0.772254	0.0959714	0.0396527	0.0921219	1.798751	1.428898	0.536689	0.0331496	0.203159	0.227003
258	-1882.787	-2074.372	191.5853	1.828907	0.844133	0.103239	0.0426553	0.0099728	1.925405	1.046768	0.34246	0.30007	0.125978	0.231491
264	-1872.812	-2065.268	192.4565	0.8770202	0.676041	0.222201	0.0559856	0.0457722	1.902194	1.05885	0.59352	0.037205	0.165321	0.203955
270	-1873.844	-2065.896	192.0528	1.160735	0.683989	0.249746	0.0566438	0.00962165	1.973981	1.105245	0.41626	0.0677947	0.301246	0.214699
276	-1868.46	-2060.628	192.1687	0.9408196	0.54491	0.354891	0.092534	0.00766523	1.966947	1.200487	0.413329	0.089691	0.433667	0.063313
282	-1875.472	-2067.178	191.7059	1.35969	0.549117	0.375733	0.0694003	0.00574892	1.965968	1.253427	0.252537	0.607154	0.0882658	0.0520432
288	-1881.929	-2073.845	191.9168	0.9667599	0.617892	0.289155	0.0885281	0.00442423	1.566275	1.682418	0.244238	0.620064	0.0853652	0.0503329
294	-1879.6	-2071.539	191.9388	0.6550784	0.400461	0.572639	0.0236562	0.00324359	1.390329	2.010961	0.131176	0.224365	0.616241	0.0282182
300	-1886.272	-2077.828	191.556	0.8601637	0.748288	0.240017	0.0102851	0.00141023	1.3845	2.124932	0.461562	0.0609225	0.470571	0.00694503
306	-1898.807	-2090.7	191.8935	1.059235	0.525235	0.450187	0.0232521	0.00132571	1.391707	1.756924	0.493028	0.147788	0.122425	0.23676
312	-1888.078	-2078.651	190.5734	1.043335	0.5229	0.461005	0.014024	0.0020702	1.25292	2.71114	0.507887	0.114165	0.329338	0.0486098
318	-1882.981	-2074.562	191.5811	1.043335	0.493146	0.474842	0.0242391	0.00777354	1.494169	1.912043	0.286813	0.382401	0.134358	0.196428
324	-1887	-2078.304	191.3035	1.043335	0.349739	0.597631	0.0305071	0.0221226	1.487143	2.10162	0.315896	0.434107	0.101532	0.148465
330	-1882.675	-2073.944	191.2697	1.177414	0.197341	0.788179	0.0047663	0.00971416	1.560076	1.989788	0.496182	0.36664	0.0117861	0.125392
336	-1892.244	-2083.629	191.3849	0.9689021	0.454244	0.498209	0.00412002	0.0434268	1.579677	2.035946	0.54781	0.383572	0.0177163	0.0509016
342	-1886.233	-2077.99	191.7572	1.35941	0.335076	0.569464	0.00703089	0.0884295	1.667743	1.449713	0.497515	0.208346	0.111014	0.183125
348	-1879.165	-2070.487	191.3216	1.032551	0.547695	0.407936	0.00326787	0.0411009	1.531285	2.067726	0.294655	0.555258	0.13525	0.0148368
354	-1869.946	-2061.709	191.7631	1.085204	0.328111	0.559936	0.0039306	0.108023	1.570102	1.705334	0.512966	0.100915	0.381768	0.00435106
360	-1865.629	-2057.36	191.7304	1.157479	0.687484	0.241672	0.00248728	0.0683566	1.662399	1.612696	0.183254	0.502817	0.312375	0.00155439
366	-1864.394	-2055.956	191.5618	2.008813	0.788055	0.126839	0.00812557	0.0769799	1.863981	0.9946637	0.450567	0.498861	0.0493043	0.00126789
372	-1884.936	-2077.401	192.4653	0.9091301	0.621926	0.286728	0.0104045	0.0809422	2.079022	0.8244798	0.284865	0.418229	0.295843	0.00106296
378	-1877.198	-2069.827	192.6291	0.9110823	0.473249	0.397568	0.0132133	0.11597	1.937975	0.7919509	0.0802767	0.835886	0.0833705	0.000467111
384	-1872.758	-2065.212	192.4542	0.9480905	0.549854	0.313105	0.107395	0.0296456	2.075158	0.7919509	0.0132208	0.709782	0.230807	0.0461904
390	-1862.861	-2055.132	192.271	1.132987	0.631414	0.213855	0.123325	0.0314059	2.096102	0.7632191	0.12061	0.753786	0.0642242	0.0613795
396	-1869.298	-2061.183	191.885	1.561693	0.696332	0.14795	0.119431	0.0362873	2.044772	0.8304497	0.0667653	0.735896	0.0626999	0.134639
402	-1874.972	-2066.876	191.9033	1.561693	0.687319	0.0822049	0.175374	0.055102	2.03846	0.8151727	0.503476	0.222773	0.0869782	0.186773
408	-1873.157	-2065.065	191.908	1.466471	0.692856	0.0751141	0.140274	0.0917563	2.191365	0.7039673	0.361278	0.222931	0.205894	0.209897
414	-1869.415	-2061.511	192.096	1.240075	0.685347	0.128079	0.13875	0.0478237	2.163583	0.7719792	0.223918	0.195663	0.358881	0.221538
420	-1874.147	-2065.451	191.3046	2.234368	0.776231	0.0895007	0.1101	0.0241686	2.188427	0.711028	0.189803	0.290045	0.364278	0.155874
426	-1884.423	-2076.202	191.7795	1.655884	0.717076	0.046513	0.193857	0.0425544	2.144257	0.7288947	0.234332	0.123484	0.44974	0.192443
432	-1887.683	-2079.575	191.8915	1.657495	0.745279	0.138302	0.0259837	0.0904346	1.974724	0.8093194	0.180378	0.239957	0.346189	0.233476
438	-1883.074	-2075.271	192.1969	1.314611	0.705351	0.219913	0.0105144	0.0642223	1.926245	0.8595861	0.61669	0.0679333	0.299562	0.0158143
444	-1887.099	-2079.376	192.2769	1.193245	0.698374	0.240962	0.0104104	0.0502534	2.000814	0.807214	0.48159	0.193479	0.313635	0.011296
450	-1899.791	-2091.485	191.6937	1.718945	0.621239	0.205862	0.116803	0.056097	2.066881	0.8775092	0.343093	0.210369	0.401187	0.0453512
456	-1883.46	-2075.607	192.1471	1.253825	0.734485	0.184635	0.0457268	0.0351537	2.059173	0.8260526	0.41244	0.423833	0.0588548	0.104872
462	-1880.547	-2072.656	192.1095	1.24815	0.667864	0.213531	0.0625639	0.0560416	2.124767	0.796558	0.518131	0.216872	0.133251	0.131746
468	-1878.896	-2070.734	191.8372	1.469609	0.627211	0.180913	0.161587	0.030289	2.324953	0.511531	0.175812	0.675119	0.0749577	0.074111
474	-1890.007	-2081.809	191.8024	1.470904	0.761796	0.0613151	0.0290205	0.147868	2.358598	0.511531	0.313902	0.395971	0.254523	0.0356049
480	-1887.238	-2079.172	191.9342	1.48076	0.756247	0.120576	0.0899905	0.0331866	1.880383	1.030851	0.611873	0.155786	0.175675	0.0566656
486	-1878.538	-2070.199	191.6613	1.48076	0.606479	0.00949805	0.366752	0.0172703	1.743933	1.382123	0.110106	0.727943	0.155442	0.00650844
492	-1877.398	-2069.321	191.9236	1.460921	0.802437	0.046417	0.144774	0.0063723	1.734782	1.188911	0.11049	0.780846	0.0914106	0.0172541
498	-1874.281	-2066.462	192.1807	1.16684	0.761081	0.141107	0.0761079	0.0217034	1.799384	1.14202	0.365102	0.274491	0.161748	0.19866
504	-1872.213	-2064.412	192.1991	1.16684	0.680732	0.18342	0.116436	0.0194121	2.235842	0.5416385	0.170658	0.638636	0.0548939	0.135813
510	-1876.151	-2068.567	192.416	0.9140756	0.630462	0.22322	0.10818	0.0381386	2.183069	0.7415338	0.109032	0.764696	0.0395027	0.0867694
516	-1875.262	-2067.425	192.1632	1.115306	0.528636	0.412325	0.045717	0.0133224	2.276209	0.671726	0.120048	0.690726	0.0591595	0.130067
522	-1883.65	-2076.164	192.514	0.7378685	0.409008	0.419362	0.158219	0.0134106	2.337949	0.6057416	0.023514	0.82401	0.129774	0.0227024
528	-1872.152	-2064.644	192.4922	0.8227162	0.366079	0.585307	0.0387203	0.00989373	2.270945	0.6047717	0.00287076	0.809712	0.145147	0.0422705
534	-1878.114	-2070.236	192.1217	1.124739	0.745214	0.114566	0.133725	0.00649474	2.355126	0.4709848	0.141598	0.492119	0.213489	0.152793
540	-1872.558	-2064.629	192.0712	1.124739	0.708992	0.158172	0.127225	0.00561061	2.406232	0.4762016	0.471601	0.31409	0.159782	0.0545264
546	-1882.88	-2074.835	191.9557	1.208036	0.687027	0.163924	0.144601	0.00444818	2.443432	0.4971904	0.239301	0.365755	0.165584	0.22936
552	-1876.917	-2069.035	192.1181	1.208036	0.808628	0.0165165	0.170194	0.00466149	2.281109	0.4971904	0.510525	0.355949	0.0907889	0.0427365
558	-1876.221	-2067.657	191.4355	1.73151	0.724317	0.114764	0.156744	0.00417546	2.496857	0.4308043	0.384037	0.488925	0.0616148	0.0654229
564	-1874.366	-2065.887	191.5217	1.63905	0.646215	0.278914	0.0726033	0.00226804	2.496857	0.4997701	0.592582	0.124262	0.0824141	0.200742
570	-1879.893	-2072.292	192.3989	1.048272	0.455729	0.497523	0.0347093	0.012039	2.135462	0.6031805	0.478427	0.172693	0.231366	0.117514
576	-1872.776	-2065.265	192.4893	0.8168916	0.352579	0.604959	0.0278229	0.0146387	2.290053	0.5710569	0.635943	0.1089	0.104451	0.150706
582	-1863.172	-2055.593	192.421	0.9307954	0.575134	0.317927	0.094374	0.0125655	2.227593	0.6132337	0.695177	0.0259009	0.114179	0.164743
588	-1866.791	-2059.138	192.347	1.026023	0.431208	0.512961	0.0517959	0.00403461	2.205807	0.6132337	0.360547	0.35079	0.0180903	0.270572
594	-1889.68	-2082.252	192.5723	0.7928552	0.306365	0.637024	0.0270993	0.0295115	2.177067	0.7013472	0.274906	0.554423	0.0153247	0.155346
600	-1879.969	-2072.875	192.9061	0.4300134	0.374667	0.504807	0.049805	0.0707217	2.246321	0.643412	0.327732	0.35874	0.0536195	0.259909
606	-1872.746	-2065.656	192.9098	0.4259189	0.471122	0.425367	0.0935557	0.00995523	2.250498	0.6337408	0.367681	0.364023	0.139871	0.128425
612	-1879.065	-2071.394	192.3292	1.141397	0.713692	0.214916	0.0563111	0.015081	2.042473	0.7444164	0.447731	0.283157	0.0786003	0.190512
618	-1877.656	-2069.556	191.9003	1.484747	0.77712	0.178992	0.0274673	0.0164212	2.042473	0.893566	0.577246	0.194468	0.121306	0.106979
624	-1881.752	-2073.829	192.0776	1.314164	0.676178	0.231384	0.0633063	0.0291319	2.068082	0.8325184	0.2605	0.27238	0.0742929	0.392828
630	-1880.945	-2072.951	192.0066	1.492897	0.72596	0.128118	0.127368	0.0185541	1.994365	0.8147657	0.38694	0.470961	0.110398	0.0317016
636	-1871.179	-2063.107	191.9283	1.492897	0.533752	0.180952	0.24403	0.0412665	1.778433	1.121766	0.476211	0.224772	0.227324	0.0716925
642	-1871.109	-2062.678	191.5693	1.724533	0.70457	0.194399	0.0877956	0.0132354	1.741751	1.294291	0.141522	0.282314	0.544327	0.0318372
648	-1873.329	-2065.387	192.0582	0.9092987	0.556257	0.354022	0.0838264	0.00589466	1.611933	1.589724	0.542764	0.308942	0.0859178	0.0623761
654	-1869.988	-2062.345	192.357	1.134108	0.719268	0.141399	0.12811	0.011223	1.860102	0.9439493	0.462188	0.075821	0.230319	0.231671
660	-1876.509	-2069.006	192.4967	1.190163	0.654753	0.150076	0.171916	0.0232554	1.764877	0.8316026	0.594853	0.012347	0.0554426	0.337357
666	-1878.789	-2070.51	191.7201	1.687478	0.611699	0.307686	0.0294059	0.0512085	1.674563	1.250243	0.562264	0.0692845	0.0699458	0.298505
672	-1870.678	-2062.393	191.715	1.623853	0.497689	0.445532	0.04258	0.0141989	1.822781	1.173065	0.589646	0.0820952	0.0828788	0.24538
678	-1869.137	-2061.086	191.9495	1.281546	0.620012	0.241271	0.126189	0.0125278	1.767718	1.274671	0.280477	0.438026	0.0792827	0.202214
684	-1867.598	-2059.757	192.1589	1.347825	0.647978	0.252154	0.0659165	0.0339514	2.016895	0.7500216	0.171169	0.340886	0.289935	0.19801
690	-1874.628	-2066.613	191.9855	1.347825	0.639335	0.241795	0.0507817	0.0680883	1.735292	1.221322	0.252841	0.307295	0.261365	0.178498
696	-1862.515	-2054.671	192.1557	0.8565166	0.44917	0.504514	0.031289	0.0150265	1.695934	1.495744	0.465331	0.22612	0.186679	0.121869
702	-1856.537	-2048.825	192.288	0.7462395	0.415562	0.456549	0.0837559	0.0441331	1.68892	1.488344	0.268777	0.461754	0.140165	0.129304
708	-1863.409	-2054.831	191.4218	0.7776395	0.537441	0.410189	0.0333037	0.0190665	1.591189	2.13387	0.283151	0.33914	0.29698	0.0807292
714	-1866.253	-2058.107	191.8538	0.8062229	0.684198	0.249131	0.0423978	0.0242729	1.574243	1.836286	0.155118	0.70809	0.0726446	0.0641471
720	-1865.601	-2056.665	191.0646	0.6653212	0.562875	0.354356	0.0603053	0.0224638	1.50661	2.491653	0.352627	0.336408	0.165141	0.145824
726	-1882.323	-2072.75	190.427	0.6513222	0.570972	0.359453	0.0611728	0.00840183	1.490151	2.902429	0.394615	0.18798	0.254217	0.163188
732	-1867.689	-2059.159	191.4697	0.7976852	0.636414	0.295312	0.0519825	0.0162915	1.369042	2.23323	0.388307	0.145416	0.275574	0.190703
738	-1872.876	-2064.507	191.6312	0.9229544	0.653295	0.235585	0.0782208	0.0328992	1.513143	1.947009	0.357097	0.264446	0.298796	0.0796614
744	-1866.158	-2057.845	191.6873	0.7635261	0.762966	0.145118	0.0852095	0.00670609	1.531903	2.007772	0.426679	0.218292	0.289271	0.0657581
750	-1867.474	-2059.534	192.0604	1.086128	0.773202	0.0641319	0.0935205	0.0691455	1.733461	1.36222	0.432244	0.231905	0.283173	0.0526781
756	-1871.175	-2063.355	192.1798	1.051248	0.61707	0.269293	0.052179	0.0614578	1.940912	1.116414	0.536113	0.26803	0.179424	0.0164329
762	-1866.207	-2058.558	192.3513	1.099735	0.668725	0.291835	0.0345462	0.00489395	2.039642	0.7750999	0.270802	0.228388	0.455093	0.0457175
768	-1871.218	-2063.121	191.9028	1.520835	0.641283	0.343025	0.0123309	0.0033617	2.196871	0.6023032	0.235174	0.198341	0.373769	0.192716
774	-1874.163	-2065.592	191.4298	1.546071	0.705564	0.278287	0.00787406	0.00827537	2.64679	0.4064356	0.319218	0.269222	0.179876	0.231684
780	-1889.933	-2081.682	191.7493	1.664512	0.749357	0.10711	0.117009	0.0265239	2.240775	0.5637057	0.226853	0.287783	0.104243	0.38112
786	-1897.418	-2089.577	192.1584	1.154035	0.74899	0.175589	0.0419446	0.0334758	2.285708	0.5584659	0.174033	0.459044	0.0528253	0.314097
792	-1887.855	-2079.757	191.9021	1.264814	0.619056	0.301146	0.0156939	0.0641032	2.443591	0.5158204	0.0347088	0.638107	0.165549	0.161635
798	-1884.409	-2076.567	192.1582	0.963778	0.648802	0.218749	0.0515598	0.080889	2.468131	0.4290461	0.204517	0.503675	0.206627	0.0851811
804	-1887.131	-2079.036	191.9055	1.147204	0.738931	0.207282	0.0254549	0.0283321	2.540113	0.4283286	0.462123	0.170165	0.200311	0.167402
810	-1896.813	-2088.428	191.6152	1.347173	0.784178	0.0417635	0.0912535	0.0828054	2.606015	0.3584879	0.432777	0.308496	0.231108	0.0276179
816	-1893.48	-2085.449	191.9693	0.9585489	0.725288	0.193624	0.0191116	0.0619763	2.623786	0.3584879	0.412304	0.280598	0.181848	0.12525
822	-1890.063	-2081.593	191.5305	1.405754	0.507725	0.273718	0.175172	0.0433854	2.623786	0.3415134	0.370481	0.40152	0.168654	0.059345
828	-1881.82	-2073.89	192.07	1.245905	0.775173	0.135665	0.0237749	0.0653863	2.28126	0.5832437	0.193425	0.457513	0.318078	0.0309835
834	-1883.174	-2075.298	192.1247	1.2742	0.658549	0.158074	0.0571529	0.126224	2.190407	0.6135492	0.204456	0.446405	0.176918	0.172222
840	-1894.092	-2085.866	191.774	1.383563	0.66303	0.219738	0.0821711	0.0350611	2.460607	0.5441863	0.385936	0.120142	0.0937078	0.400215
846	-1885.941	-2078.101	192.1606	1.026786	0.719627	0.125432	0.0985908	0.0563501	2.398579	0.5926101	0.0322078	0.605819	0.175718	0.186255
852	-1895.146	-2087.34	192.1933	1.086058	0.615917	0.302353	0.0492177	0.0325128	2.283038	0.6544651	0.0163276	0.800172	0.0890793	0.0944209
858	-1881.592	-2073.88	192.2874	0.9808172	0.542574	0.337307	0.0992008	0.020919	2.304128	0.6299101	0.387579	0.514343	0.0557341	0.0423433
864	-1883.385	-2075.696	192.3107	1.012987	0.549008	0.281559	0.0791391	0.0902939	2.21202	0.7032263	0.391563	0.299972	0.265687	0.0427785
870	-1886.64	-2078.549	191.9088	1.286244	0.709466	0.174034	0.0788505	0.0376494	2.202759	0.9029288	0.721616	0.0419726	0.11698	0.119431
876	-1882.825	-2075.107	192.2815	1.165302	0.732506	0.179686	0.061216	0.0265921	1.994276	0.8432763	0.675863	0.0393113	0.214351	0.0704753
882	-1879.437	-2071.469	192.0316	1.141776	0.575401	0.346352	0.0513183	0.0269292	1.993049	1.123637	0.436128	0.0697998	0.380594	0.113479
888	-1873.332	-2064.996	191.6633	1.602848	0.536092	0.379896	0.0589222	0.0250895	1.803165	1.248757	0.5128	0.0521053	0.277663	0.157431
894	-1870.961	-2062.265	191.3042	2.09346	0.713627	0.188782	0.0630474	0.0345436	1.93755	1.110286	0.656419	0.0637351	0.157037	0.122809
900	-1879.299	-2070.53	191.2315	2.024299	0.774311	0.167912	0.0291264	0.0286506	2.009495	1.156773	0.513144	0.0723722	0.384993	0.0294911
906	-1876.676	-2068.739	192.0632	1.243182	0.508019	0.425469	0.0299463	0.0365655	1.797783	1.183404	0.47986	0.138068	0.363825	0.0182463
912	-1874.602	-2066.381	191.7784	1.668355	0.657824	0.25863	0.0413559	0.0421905	1.951126	0.9570606	0.467153	0.240738	0.245541	0.0465692
918	-1869.534	-2061.482	191.9481	1.413108	0.677733	0.258502	0.0419455	0.0218196	2.093024	0.8518427	0.345094	0.192993	0.183999	0.277914
924	-1879.519	-2071.595	192.0765	1.183537	0.643159	0.280476	0.0428978	0.0334668	2.081121	0.9568637	0.644902	0.206262	0.060589	0.0882468
930	-1873.369	-2065.533	192.1647	1.183537	0.776555	0.138431	0.0684967	0.0165177	2.081121	0.8586	0.236727	0.401921	0.137086	0.224266
936	-1874.839	-2066.95	192.1109	1.183537	0.769486	0.0630161	0.143083	0.0244147	2.134946	0.8586	0.147289	0.418212	0.317712	0.116787
942	-1873.135	-2065.142	192.0068	1.241866	0.742043	0.0614836	0.13798	0.0584931	2.050564	1.003235	0.535464	0.291388	0.0436924	0.129456
948	-1871.778	-2063.692	191.9143	1.417288	0.615058	0.222091	0.114367	0.0484832	2.280703	0.5860394	0.349334	0.419363	0.0922007	0.139102
954	-1872.287	-2064.308	192.0206	1.405563	0.745508	0.122584	0.0731423	0.0587662	2.184757	0.5860394	0.252168	0.443194	0.0857826	0.218856
960	-1892.853	-2085.042	192.1885	1.216277	0.775253	0.0860556	0.103192	0.0354999	2.199233	0.5439187	0.505	0.216521	0.163406	0.115073
966	-1894.482	-2086.225	191.7433	1.592258	0.777354	0.076473	0.0569393	0.089234	2.257499	0.6878471	0.57447	0.246307	0.0832477	0.0959749
972	-1879.068	-2070.806	191.7375	1.744123	0.811386	0.079821	0.0943847	0.014408	1.959833	0.9257033	0.515223	0.16208	0.311083	0.0116136
978	-1885.406	-2077.237	191.8308	1.731847	0.739284	0.151735	0.054906	0.054075	1.995629	0.7812995	0.505211	0.180992	0.298412	0.0153849
984	-1874.571	-2066.595	192.0244	1.327051	0.604653	0.277245	0.0327628	0.0853387	2.218101	0.6686847	0.570049	0.146162	0.271863	0.0119263
990	-1882.235	-2073.898	191.6634	1.734988	0.601522	0.275809	0.0389785	0.0836903	2.263061	0.5872678	0.343377	0.292042	0.0774096	0.287172
996	-1876.366	-2068.708	192.3421	0.8905234	0.56363	0.343061	0.0296491	0.0636592	2.367852	0.5343241	0.156323	0.5303	0.179565	0.133812
1002	-1882.879	-2075.076	192.1973	0.9844476	0.560643	0.354486	0.0587141	0.0261569	2.419445	0.4996182	0.322867	0.406482	0.137639	0.133011
1008	-1875.768	-2068.368	192.6	0.8648743	0.438869	0.527177	0.00968779	0.0242659	2.080088	0.691158	0.190272	0.57513	0.0591467	0.175451
1014	-1876.439	-2068.461	192.022	1.362576	0.543003	0.379372	0.0140114	0.063614	2.066696	0.8488161	0.273306	0.59852	0.0483082	0.0798659
1020	-1879.507	-2071.736	192.229	1.170936	0.581723	0.335927	0.0724407	0.00990875	2.122698	0.7315853	0.241879	0.621045	0.0542043	0.0828717
1026	-1878.53	-2071.002	192.4717	0.9763339	0.735462	0.175768	0.0821007	0.00666935	1.973916	0.8618428	0.137747	0.62264	0.0289044	0.210709
1032	-1880.184	-2072.501	192.3167	0.9763339	0.581635	0.388321	0.023669	0.00637544	1.969139	1.031715	0.134134	0.761149	0.0157655	0.0889515
1038	-1881.176	-2073.834	192.6574	0.7977066	0.70131	0.200719	0.093169	0.00480127	2.029195	0.7892131	0.386571	0.269411	0.270336	0.0736828
1044	-1872.134	-2064.709	192.5757	0.7446577	0.782332	0.195498	0.0191086	0.00306133	2.190839	0.7549593	0.385573	0.40232	0.139678	0.0724282
1050	-1878.402	-2070.93	192.528	0.9439625	0.702696	0.276717	0.0190865	0.00150114	2.077423	0.6792295	0.0768348	0.519751	0.268135	0.135279
